id,name,productcode,description,isactive,createddate,createdbyid,lastmodifieddate,lastmodifiedbyid,systemmodstamp,family,currencyisocode,isdeleted,lastvieweddate,lastreferenceddate,potential_for_predix__c,predix__c,software__c,source_product_id__c,source_system_name__c,tier_1_business__c,tier_2_business__c,tier_3_business__c,id_18_digit__c,edl_is_deleted,edl_last_updated_date,value
01t61000001ooppAAA,IC200ALG331,IC200ALG331,Analog output 16 bit voltage/current 4 isolated channels,true,2016-04-08T10:37:29.000Z,00561000001EDJ0AAO,2017-02-20T05:02:35.000Z,00561000001EDJ0AAO,2017-02-20T05:02:35.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003BWxqIAG,Digital Org,Digital,Controls,"",01t61000001ooppAAA,0,2017-02-14 11:00:16-05,12932.8290
01t61000001opwKAAQ,IC754VGF15CTD,IC754VGF15CTD,15 inch TFT QuickPanel View/ Fully Loaded/ GEF Overlay/ 24VDC,true,2016-04-08T10:37:55.000Z,00561000001EDJ0AAO,2016-04-24T05:01:38.000Z,00561000001EDJ0AAO,2016-04-24T05:01:38.000Z,OI,USD,false,"","",false,false,false,01tC0000003BYIzIAO,Digital Org,Digital,Controls,"",01t61000001opwKAAQ,0,2017-02-14 11:00:16-05,6522.074
01t61000001oqjkAAA,PMCF3-571,PMCF3-571,"COMPACTFLASH PMC with removeable Compact Flash site Options: Build Level 4, 6GB Type-II Flash, Removeable Socket (SKTB) Type-II clamp",true,2016-04-08T10:38:05.000Z,00561000001EDJ0AAO,2017-01-07T05:03:23.000Z,00561000001EDJ0AAO,2017-01-07T05:03:23.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BWOCIA4,Digital Org,Digital,Mil/Aero,"",01t61000001oqjkAAA,0,2017-02-14 11:00:16-05,562487.000
01t61000001oq3lAAA,IC220MDL644,IC220MDL644,"INPUT, 24VDC POSITIVE LOGIC, 16PT (Includes 4 IC220TBK122)",true,2016-04-08T10:37:56.000Z,00561000001EDJ0AAO,2017-02-20T05:02:43.000Z,00561000001EDJ0AAO,2017-02-20T05:02:43.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003BXPwIAO,Digital Org,Digital,Controls,"",01t61000001oq3lAAA,0,2017-02-14 11:00:16-05,2651.456
01t61000001opgYAAQ,IP-MP-SERIAL,IP-MP-SERIAL,"2-CH Serial,RS232/422/485",true,2016-04-08T10:37:51.000Z,00561000001EDJ0AAO,2017-01-07T05:03:18.000Z,00561000001EDJ0AAO,2017-01-07T05:03:18.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BY9JIAW,Digital Org,Digital,Mil/Aero,"",01t61000001opgYAAQ,0,2017-02-14 11:00:16-05,25823.000
01t61000001opGDAAY,ICS-8580A-RTM-100,ICS-8580A-RTM-100,Rear transition module for use with ICS-7006A-100,true,2016-04-08T10:37:44.000Z,00561000001EDJ0AAO,2017-01-07T05:02:48.000Z,00561000001EDJ0AAO,2017-01-07T05:02:49.000Z,Mil/Aero Sensor Processing,USD,false,"","",false,false,false,01tC0000003BbtiIAC,Digital Org,Digital,Mil/Aero,"",01t61000001opGDAAY,0,2017-02-14 11:00:16-05,20251.000
01t61000001otC2AAI,IC695CHS012LT,IC695CHS012LT,Low Temperature Tested (-40 to 60C) RX3i 12 slot universal base,true,2016-04-08T10:38:59.000Z,00561000001EDJ0AAO,2017-02-20T05:02:59.000Z,00561000001EDJ0AAO,2017-02-20T05:02:59.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003lO0pIAE,Digital Org,Digital,Controls,"",01t61000001otC2AAI,0,2017-02-14 11:00:16-05,322.240
01t61000001orebAAA,XMCV5VBIT-1M,XMCV5VBIT-1M,XMCV5 Built In Test Maint Agreement,false,2016-04-08T10:38:16.000Z,00561000001EDJ0AAO,2017-01-07T05:03:29.000Z,00561000001EDJ0AAO,2017-01-07T05:03:29.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BZIfIAO,Digital Org,Digital,Mil/Aero,"",01t61000001orebAAA,0,2017-02-14 11:00:16-05,4163.000
01t61000001orv2AAA,IC200UEX211,IC200UEX211,"28 point expansion.  (16) 24VDC In, (12) Relay Out, 120V/240AC Power S upply (includes IC200CBL501)",true,2016-04-08T10:38:42.000Z,00561000001EDJ0AAO,2017-02-20T05:02:54.000Z,00561000001EDJ0AAO,2017-02-20T05:02:54.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003BXKmIAO,Digital Org,Digital,Controls,"",01t61000001orv2AAA,0,2017-02-14 11:00:16-05,634.000
01t61000001osnyAAA,IN54-15-50,IN54-15-50,AIM12  with EStab 50Hz,true,2016-04-08T10:38:54.000Z,00561000001EDJ0AAO,2017-01-07T05:03:33.000Z,00561000001EDJ0AAO,2017-01-07T05:03:33.000Z,Mil/Aero Image Processing,USD,false,"","",false,false,false,01tC0000003BsgcIAC,Digital Org,Digital,Mil/Aero,"",01t61000001osnyAAA,0,2017-02-14 11:00:16-05,547596.000
01t61000001opJXAAY,920-100886-005,920-100886-005,"RTR8GE Secure Router with 8 GigE ports and JUNOS, Conduction Cooled",true,2016-04-08T10:37:45.000Z,00561000001EDJ0AAO,2017-01-07T05:03:16.000Z,00561000001EDJ0AAO,2017-01-07T05:03:16.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BW3rIAG,Digital Org,Digital,Mil/Aero,"",01t61000001opJXAAY,0,2017-02-14 11:00:16-05,180000.000
01t61000001op6NAAQ,PCIE-5565PIORC-200000,PCIE-5565PIORC-200000,"Low-Profile PCI Express Reflective Memory, 2 GIGA Baud w/FO Options, 256 Mbyte Memory, Multimode Transmission. Tall bracket, will only fit in standard PCIE slots",true,2016-04-08T10:37:32.000Z,00561000001EDJ0AAO,2017-01-07T05:02:47.000Z,00561000001EDJ0AAO,2017-01-07T05:02:47.000Z,Communications,USD,false,"","",false,false,false,01tC0000003BbrbIAC,Digital Org,Digital,Control & Comm Systems,"",01t61000001op6NAAQ,0,2017-02-14 11:00:16-05,111360.000
01t61000001ooI9AAI,PPC9B-3G2400004,PPC9B-3G2400004,"6U VME QorIQ P2020 Single Board Computer  Options: Build Level 3, P2020 @ 1.2GHz, 2x1G DDR3, (4+2)x128M Flash, 4A Compat.COMs,1x10/100BaseT, SuperIO, Full 9B,SATA + USB,ETH2 + AXIS, Not Fitted, None Fitted, BIT / VxWorks",true,2016-04-08T10:37:22.000Z,00561000001EDJ0AAO,2017-01-07T05:02:43.000Z,00561000001EDJ0AAO,2017-01-07T05:02:43.000Z,Mil/Aero Products,USD,false,"","",false,false,false,01tC0000003BbpcIAC,Digital Org,Digital,Mil/Aero,"",01t61000001ooI9AAI,0,2017-02-14 11:00:16-05,44588.000
01t61000001opquAAA,IC694ALG220,IC694ALG220,"Input module, analog 4 point voltage.",true,2016-04-08T10:37:53.000Z,00561000001EDJ0AAO,2017-02-20T05:02:41.000Z,00561000001EDJ0AAO,2017-02-20T05:02:42.000Z,Controllers & IO,USD,false,"","",false,false,false,01tC0000003BYDoIAO,Digital Org,Digital,Controls,"",01t61000001opquAAA,0,2017-02-14 11:00:16-05,2112.6280
